No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
0,1537,1537,0,96,1113,0,Yeleswaram,1537,East Godavari,2746,1537,0,Andhra Pradesh
0,0,0,0,0,0,0,Amaravati,0,Guntur,0,0,0,Andhra Pradesh
1,1327,1327,0,8,1416,0,Bapatla (M),1328,Guntur,2751,1326,0,Andhra Pradesh
0,4086,4086,0,7,4757,0,Chilakaluripet (M),4086,Guntur,8850,4084,0,Andhra Pradesh
2,8356,8356,0,1400,3122,0,Guntur (M Corp.),8357,Guntur,12878,8348,0,Andhra Pradesh
0,2591,2591,0,77,1534,0,Macherla (M),2591,Guntur,4202,2588,0,Andhra Pradesh
0,674,674,1,6,642,0,Mangalagiri (M),675,Guntur,1323,674,0,Andhra Pradesh
0,1234,1234,0,13,1997,1,Narasaraopet (M),1234,Guntur,3244,1233,0,Andhra Pradesh
1,1310,1310,1,11,1094,0,Piduguralla (NP),1311,Guntur,2416,1310,0,Andhra Pradesh
0,272,272,0,18,434,0,Ponnur (M),272,Guntur,724,272,0,Andhra Pradesh
0,874,874,0,15,451,0,Repalle (M),875,Guntur,1340,873,0,Andhra Pradesh
0,2176,2176,0,1,2235,0,Sattenapalle (M),2176,Guntur,4412,2176,0,Andhra Pradesh
0,0,0,1,3,0,1,Tadepalle (M),1,Guntur,4,0,0,Andhra Pradesh
0,756,756,0,10,587,0,Tenali (M),757,Guntur,1353,755,0,Andhra Pradesh
0,1542,1542,0,28,684,0,Vinukonda (M),1542,Guntur,2254,1542,0,Andhra Pradesh
0,888,888,0,75,1232,0,Gudivada (M),888,Krishna,2195,888,0,Andhra Pradesh
0,1416,1416,0,41,757,0,Jaggaiahpet (M),1416,Krishna,2214,1415,0,Andhra Pradesh
0,4031,4031,0,42,3155,1,Machilipatnam (M),4032,Krishna,7228,4029,0,Andhra Pradesh
0,1725,1725,0,87,738,0,Nandigama,1726,Krishna,2550,1714,0,Andhra Pradesh
0,606,606,0,14,818,0,Nuzvid (M),606,Krishna,1438,605,0,Andhra Pradesh
0,1408,1408,0,2,1431,0,Pedana (M),1408,Krishna,2841,1408,0,Andhra Pradesh
0,1306,1306,0,80,666,0,Tiruvuru,1306,Krishna,2052,1304,0,Andhra Pradesh
0,1730,1730,1,21,679,0,Vijayawada (M Corp.),1730,Krishna,2431,1730,0,Andhra Pradesh
0,1171,1171,0,4,362,0,Vuyyuru,1171,Krishna,1537,1171,0,Andhra Pradesh
0,3391,3391,0,7,4156,0,Adoni (M),3392,Kurnool,7554,3390,0,Andhra Pradesh
0,3391,3391,0,8,1829,0,ALLAGADDA,3391,Kurnool,5228,3388,0,Andhra Pradesh
0,866,866,0,34,1051,0,Atmakur,866,Kurnool,1951,866,0,Andhra Pradesh
0,2340,2340,3,15,1034,3,Dhone (NP),2343,Kurnool,3392,2337,0,Andhra Pradesh
0,668,668,0,3,619,0,Gudur NP,668,Kurnool,1290,668,0,Andhra Pradesh
0,4957,4957,1,22,3918,3,Kurnool (M Corp.),4961,Kurnool,8898,4951,0,Andhra Pradesh
0,1007,1007,0,70,1223,0,Nandikotkur,1007,Kurnool,2300,1007,0,Andhra Pradesh
0,2830,2830,0,114,4067,0,Nandyal (M),2830,Kurnool,7011,2827,0,Andhra Pradesh
0,2812,2812,0,13,3357,0,Yemmiganur (M),2812,Kurnool,6182,2812,0,Andhra Pradesh
0,2619,2616,0,121,1603,0,Atmakur,2616,Nellore,4343,2613,0,Andhra Pradesh
1,848,847,0,396,755,0,Gudur (M),848,Nellore,1999,846,0,Andhra Pradesh
0,2227,2227,1,542,1746,0,Kavali (M),2227,Nellore,4516,2226,0,Andhra Pradesh
0,1593,1591,0,107,1378,0,Naidupet,1591,Nellore,3078,1591,0,Andhra Pradesh
2,10169,10169,1,3805,2919,1,Nellore (M Corp.),10176,Nellore,16894,10153,0,Andhra Pradesh
1,0,0,0,2,0,0,Sullurpet,0,Nellore,2,0,0,Andhra Pradesh
1,2222,2222,0,253,1024,0,Venkatagiri (M),2223,Nellore,3499,2218,0,Andhra Pradesh
0,932,932,0,84,2462,2,Addanki,933,Prakasam,3478,931,0,Andhra Pradesh
0,628,628,0,69,755,0,CHIMAKURTHY,628,Prakasam,1452,627,0,Andhra Pradesh
0,1788,1788,0,15,2920,0,Chirala (M),1788,Prakasam,4723,1788,0,Andhra Pradesh
0,1075,1075,2,167,1458,0,Giddaluru(NP),1075,Prakasam,2702,1071,0,Andhra Pradesh
0,1329,1329,0,9,1483,1,Kandukur (M),1330,Prakasam,2821,1327,0,Andhra Pradesh
0,1309,1309,0,15,1371,1,Kanigiri,1309,Prakasam,2695,1306,0,Andhra Pradesh
1,1447,1447,0,15,768,3,Markapur (M),1447,Prakasam,2230,1446,0,Andhra Pradesh
2,6461,6461,0,42,4406,0,Ongole (M),6462,Prakasam,10909,6458,0,Andhra Pradesh
0,1543,1543,0,82,1673,0,Amadalavalasa (M),1543,Srikakulam,3298,1542,0,Andhra Pradesh
0,1284,1284,0,23,2017,0,Ichchapuram (M),1284,Srikakulam,3324,1284,0,Andhra Pradesh
1,737,737,2,27,549,0,Palakonda,741,Srikakulam,1315,737,0,Andhra Pradesh
0,1686,1686,1,289,1707,1,Palasa Kasibugga (M),1687,Srikakulam,3683,1684,0,Andhra Pradesh
0,1412,1412,0,78,1048,0,Rajam (NP),1412,Srikakulam,2538,1412,0,Andhra Pradesh
0,1831,1831,0,30,1673,0,Srikakulam (M),1831,Srikakulam,3534,1831,0,Andhra Pradesh
0,529,529,0,7,477,0,Anakapalle (M),529,Visakhapatnam,1013,528,0,Andhra Pradesh
0,479,479,0,0,64,0,Bheemunipatnam (M),479,Visakhapatnam,543,479,0,Andhra Pradesh
3,12204,12204,3,95,12626,7,GVMC,12211,Visakhapatnam,24928,12188,0,Andhra Pradesh
0,1278,1278,0,39,2635,0,Narsipatnam,1278,Visakhapatnam,3952,1276,0,Andhra Pradesh
0,2152,2152,0,42,2116,0,Yelamanchili,2153,Visakhapatnam,4310,2151,0,Andhra Pradesh
0,2917,2917,0,74,3095,0,Bobbili (M),2917,Vizianagaram,6086,2916,0,Andhra Pradesh
0,853,853,0,57,1019,0,Nellimarla,853,Vizianagaram,1929,852,0,Andhra Pradesh
0,1825,1825,0,183,2083,0,Parvathipuram (M),1826,Vizianagaram,4091,1824,0,Andhra Pradesh
0,1268,1268,0,28,1469,0,Salur (M),1268,Vizianagaram,2765,1268,0,Andhra Pradesh
1,3103,3103,3,310,4878,0,Vizianagaram (M),3103,Vizianagaram,8294,3100,0,Andhra Pradesh
0,548,548,0,1,725,0,Bhimavaram (M),548,West Godavari,1274,547,0,Andhra Pradesh
0,1178,1178,0,62,1065,0,Eluru (M Corp.),1178,West Godavari,2305,1177,0,Andhra Pradesh
0,2045,2045,0,2,1609,0,Jangareddygudem,2045,West Godavari,3656,2045,0,Andhra Pradesh
0,755,755,0,5,585,0,Kovvur (M),755,West Godavari,1345,755,0,Andhra Pradesh
0,892,892,0,10,960,0,Narasapur (M),893,West Godavari,1862,892,0,Andhra Pradesh
0,493,493,0,6,270,0,Nidadavole (M),494,West Godavari,769,493,0,Andhra Pradesh
0,426,426,0,11,487,0,Palacole (M),426,West Godavari,924,425,0,Andhra Pradesh
0,686,686,1,5,1148,0,Tadepalligudem (M),687,West Godavari,1840,686,0,Andhra Pradesh
0,259,259,0,14,698,0,Tanuku (M),259,West Godavari,971,259,0,Andhra Pradesh
0,31,31,0,1,0,0,Changlang (NT),31,Changlang,32,31,0,Arunachal Pradesh
1,52,52,0,0,0,0,Jairampur (NT),52,Changlang,53,52,1,Arunachal Pradesh
0,49,49,0,0,0,0,Miao (NT),49,Changlang,49,49,0,Arunachal Pradesh
0,0,0,0,0,0,0,Anini (NT),0,Dibang Valley,0,0,0,Arunachal Pradesh
0,29,0,0,123,0,0,Seppa (NT),151,East Kameng,152,0,0,Arunachal Pradesh
0,76,72,0,0,1,0,Boleng (NT),75,East Siang,77,72,0,Arunachal Pradesh
0,0,0,0,0,0,0,Pasighat (NT),0,East Siang,0,0,0,Arunachal Pradesh
0,5,5,0,60,0,0,Koloriang (NT),62,Karung Kumey,66,5,1,Arunachal Pradesh
0,0,0,0,1,0,0,PALIN,0,Kra Dadi,1,0,0,Arunachal Pradesh
37,96,96,0,2,0,0,Namsai (NT),61,Lohit,104,96,6,Arunachal Pradesh
0,194,0,1,21,0,1,Tezu (NT),210,Lohit,216,0,0,Arunachal Pradesh
1,653,526,0,8,1,0,Roing (NT),525,Lower Dibang Valley,683,405,21,Arunachal Pradesh
0,0,0,0,0,0,0,RAGA,0,Lower Subansari,0,0,0,Arunachal Pradesh
0,8,0,0,278,0,0,Ziro (NT),54,Lower Subansari,286,0,0,Arunachal Pradesh
0,0,0,0,0,0,0,DOIMUKH,0,Papum Pare,0,0,0,Arunachal Pradesh
1,93,0,0,1,0,0,Itanagar (NT),77,Papum Pare,112,0,18,Arunachal Pradesh
0,0,0,0,0,0,0,KIMIN,0,Papum Pare,0,0,0,Arunachal Pradesh
0,0,0,0,0,0,0,Naharlagun (NT),0,Papum Pare,0,0,0,Arunachal Pradesh
0,10,10,0,0,0,0,Sagalee (NT),10,Papum Pare,11,10,1,Arunachal Pradesh
0,0,0,0,0,0,0,PANGIN,0,Siang,0,0,0,Arunachal Pradesh
0,92,92,0,12,0,0,Tawang (NT),92,Tawang,104,91,0,Arunachal Pradesh
0,0,0,0,50,0,0,Deomali (NT),51,Tirap,51,0,1,Arunachal Pradesh
0,54,54,0,71,0,0,Khonsa (NT),126,Tirap,126,54,1,Arunachal Pradesh
0,100,0,0,45,0,0,Longding,145,Tirap,145,0,0,Arunachal Pradesh
0,111,111,0,0,0,0,Daporijo (NT),111,Upper Subansari,111,111,0,Arunachal Pradesh
0,0,0,0,0,0,0,DUMPORIJO,0,Upper Subansari,0,0,0,Arunachal Pradesh
0,0,0,0,2,0,0,Bomdila (NT),0,West Kameng,2,0,0,Arunachal Pradesh
0,0,0,0,0,0,0,Dirang (NT),0,West Kameng,0,0,0,Arunachal Pradesh
1,0,0,3,2416,9,1,Barpeta (MB),0,Barpeta Road,2428,0,0,Assam
0,0,0,0,7,6,0,Barpeta Road (MB),0,Barpeta Road,13,0,0,Assam
1,0,0,0,3,0,0,Howli (TC),0,Barpeta Road,3,0,0,Assam
12,50,50,0,436,0,0,Patacharkuchi,38,Barpeta Road,496,0,10,Assam
0,0,0,0,4,2,0,Pathsala (TC),0,Barpeta Road,6,0,0,Assam
0,0,0,0,0,2,0,Sarbhog (TC),0,Barpeta Road,2,0,0,Assam
0,99,98,0,326,2,0,Sarthebari (TC),0,Barpeta Road,427,0,0,Assam
0,168,165,0,257,8,1,Abhayapuri (TC),1,Bongaigaon,433,0,0,Assam
17,710,120,0,40,3,0,Bongaigaon (MB),51,Bongaigaon,768,0,15,Assam
0,0,0,0,0,0,0,Kajalgaon (TC),0,Bongaigaon,0,0,0,Assam
0,0,0,0,280,1,0,Lakhipur (MB),0,Cachar,281,0,0,Assam
0,154,7,1,2281,2,0,Silchar (MB),0,Cachar,2438,0,0,Assam
0,0,0,0,1,0,0,Sonai (TC),0,Cachar,1,0,0,Assam
0,0,0,0,133,4,0,Basugaon (TC),0,Chairang,137,0,0,Assam
0,0,0,2,10,11,1,Bijni (TC),0,Chairang,23,0,0,Assam
38,110,110,1,377,9,0,Kharupatia (TC),48,Darrang,497,0,0,Assam
0,49,0,0,30,25,0,Mangaldoi (MB),0,Darrang,104,0,0,Assam
0,340,66,1,1452,4,0,Dhemaji (TC),3,Dhemaji,1797,0,0,Assam
0,0,0,0,295,0,0,Silapathar (TC),0,Dhemaji,295,0,0,Assam
137,779,4,2,3662,0,0,Bilasipara (TC),365,Dhubri,4444,0,1,Assam
0,363,242,0,0,723,0,Chapar (TC),0,Dhubri,1086,0,0,Assam
0,0,0,3,4090,87,1,Dhubri (MB),4,Dhubri,4180,0,0,Assam
0,0,0,0,291,12,0,Gauripur (TC),0,Dhubri,303,0,0,Assam
205,0,0,0,1024,0,1,Sapatgram (TC),0,Dhubri,1024,0,0,Assam
0,0,0,0,3,3,0,Chabua (TC),0,Dibrugarh,6,0,0,Assam
0,1070,418,0,1008,0,0,Dibrugarh (MB),0,Dibrugarh,2108,0,30,Assam
1,152,93,1,521,0,0,Naharkatiya (TC),0,Dibrugarh,676,0,2,Assam
0,0,0,0,223,0,0,Namrup(TC),0,Dibrugarh,223,0,0,Assam
1,1,1,0,478,364,0,Haflong (TC),42,Dima Hassao,843,0,0,Assam
0,175,1,0,0,2,0,Mahur (TC),0,Dima Hassao,177,0,0,Assam
0,0,0,0,15,3,0,Maibong (TC),2,Dima Hassao,18,0,0,Assam
0,584,0,0,670,336,0,Umrangso (TC),0,Dima Hassao,1594,0,4,Assam
0,137,136,0,926,269,0,Barpathar (TC),1,Golaghat,1333,0,1,Assam
0,139,0,0,9762,3360,0,Bokakhat (TC),2,Golaghat,17707,0,4446,Assam
0,0,0,0,2214,1662,0,Dergaon (MB),0,Golaghat,3876,0,0,Assam
20,42,35,0,26347,7451,0,Golaghat (MB),7,Golaghat,35475,1,1635,Assam
0,0,0,0,3802,3363,0,Sarupathar (TC),57,Golaghat,7165,0,0,Assam
3,89,37,3,1241,20,5,Hailakandi (MB),2,Hailakandi,1364,0,11,Assam
1,33,10,3,303,0,1,Lala (TC),0,Hailakandi,346,0,7,Assam
8,0,0,2,3242,381,0,Jorhat (MB),1,Jorhat,3625,0,0,Assam
0,455,345,1,1,1,1,Mariani (TC),0,Jorhat,460,0,2,Assam
0,0,0,1,702,5,0,Teok (TC),54,Jorhat,708,0,0,Assam
0,0,0,0,1025,105,1,Titabor Town (TC),0,Jorhat,1130,0,0,Assam
0,0,0,2,272,47,0,Palasbari (MB),0,Kamrup,321,0,0,Assam
0,0,0,0,55,8,2,Rangia (MB),0,Kamrup,63,0,0,Assam
83,6777,6777,3,4836,0,27,Guwahati (M Corp.),282,Kamrup Metropolitian,11616,1,0,Assam
0,0,0,0,8,1,0,North Guwahati (TC),0,Kamrup Metropolitian,9,0,0,Assam
0,2,0,1,3738,904,0,Bakalia,0,Karbi Anlong,4648,0,3,Assam
2,0,0,1,12096,9806,0,Bokajan (TC),2,Karbi Anlong,21903,0,0,Assam
1,0,0,2,8257,398,7,Diphu (TC),2,Karbi Anlong,8657,0,0,Assam
1,96,67,1,4839,5750,4,Dokmoka (TC),1,Karbi Anlong,10686,0,0,Assam
0,20,6,1,1916,11467,0,Donkamokam (TC),0,Karbi Anlong,14721,0,1317,Assam
0,921,0,4,239,2175,0,Hamren (TC),0,Karbi Anlong,5010,0,1671,Assam
0,111,72,1,13,1668,0,Howraghat (TC),1,Karbi Anlong,4376,0,2583,Assam
0,0,0,0,11,17,0,Badarpur (TC),0,Karimganj,28,0,0,Assam
1,10,0,2,755,37,0,Karimganj (MB),2,Karimganj,804,0,0,Assam
0,0,0,1,19,8,0,Gossaigaon (TC),0,Kokrajhar,28,0,0,Assam
0,0,0,0,2,4,0,Kokrajhar (MB),0,Kokrajhar,6,0,0,Assam
0,0,0,0,0,0,0,Majuli (TC),0,Majuli,0,0,0,Assam
1,0,0,4,954,2735,0,Marigaon (MB),3,Marigaon,3693,0,0,Assam
2,52,51,6,5234,6495,1,Dhing (TC),0,Nagaon,11787,0,0,Assam
0,0,0,3,176,141,0,Doboka (TC),5,Nagaon,320,0,0,Assam
1,18,18,0,752,84,2,Hojai (MB),18,Nagaon,887,0,33,Assam
0,0,0,0,53,599,0,Kampur Town (TC),0,Nagaon,652,0,0,Assam
4,473,431,1,690,814,0,Lanka (MB),442,Nagaon,1979,4,1,Assam
3,0,0,0,53,12,0,Lumding (MB),0,Nagaon,65,0,0,Assam
5,1393,91,11,10726,24692,4,Nagaon (MB),6,Nagaon,39355,37,2533,Assam
0,0,0,0,134,386,0,Raha (TC),0,Nagaon,521,0,1,Assam
668,3508,742,2,545,769,5,Arwal (Nagar Parishad),1009,Arwal,4850,218,26,Bihar
148,711,217,3,229,2,6,Aurangabad (Nagar Parishad),154,Aurangabad,950,172,5,Bihar
139,1317,1317,3,18,2,3,Daudnagar (NP),937,Aurangabad,1414,431,74,Bihar
178,627,493,2,18,2,5,Nabinagar (NP),16,Aurangabad,668,362,19,Bihar
221,709,418,4,569,144,9,Rafiganj (NP),452,Aurangabad,1571,185,145,Bihar
63,1075,1068,1,859,2,1,Amarpur (NP),787,Banka,1952,786,15,Bihar
239,777,670,3,28,3,5,Banka (NP),133,Banka,874,160,63,Bihar
1700,4204,3682,8,2920,437,2,Bakhri (NP),1084,Begusarai,7575,826,6,Bihar
121,4974,4240,4,626,1,4,Balia (NP),2364,Begusarai,5951,2455,346,Bihar
0,2,2,2,80,5,0,Barauni (Nagar Parishad),2,Begusarai,89,2,0,Bihar
5755,19368,19058,2,1557,108,12,Begusarai (M Corp.),297,Begusarai,21132,11383,97,Bihar
1339,4926,4747,4,1273,214,0,Bihat (Nagar Parishad),2395,Begusarai,6849,3750,432,Bihar
392,2931,2710,5,2529,1001,2,Teghra (NP),643,Begusarai,6508,851,42,Bihar
1010,5525,5245,3,408,30,8,Bhagalpur (M Corp.),4211,Bhagalpur,5990,3456,24,Bihar
160,653,640,0,138,1,0,Colgong (NP),313,Bhagalpur,793,622,1,Bihar
0,0,0,1,73,0,3,Kahalgaon,15,Bhagalpur,74,0,0,Bihar
748,4324,4144,6,321,7,12,Naugachhia (NP),478,Bhagalpur,4779,2993,121,Bihar
1753,4115,3217,0,537,0,12,Sultanganj (Nagar Parishad),1168,Bhagalpur,4737,2656,85,Bihar
2085,5837,5321,9,2059,2,2,Arrah (M Corp.),1840,Bhojpur,7968,3142,61,Bihar
328,1241,689,1,2,57,1,Behea (NP),358,Bhojpur,1316,481,15,Bihar
79,1060,1046,0,83,4,5,Jagdishpur (NP),203,Bhojpur,1156,509,9,Bihar
129,916,915,1,60,9,0,Koilwar (NP),576,Bhojpur,1051,67,65,Bihar
323,1080,854,0,352,181,3,Piro (NP),327,Bhojpur,1614,301,1,Bihar
259,920,887,0,43,8,0,Shahpur (NP),422,Bhojpur,972,234,1,Bihar
468,2271,1526,0,1,0,4,Buxar (Nagar Parishad),995,Buxar,2320,790,48,Bihar
406,1935,1754,3,6,1,8,Dumraon (Nagar Parishad),1181,Buxar,1968,127,23,Bihar
1749,2976,2197,3,3235,14,2,Benipur (Nagar Parishad),400,Darbhanga,6266,1275,38,Bihar
1987,4533,4533,5,304,3,26,Darbhanga (M Corp.),2660,Darbhanga,5221,1176,376,Bihar
2378,3324,2928,1,330,19,1,Bodh Gaya (NP),935,Gaya,4564,2275,890,Bihar
1589,7627,6875,4,3752,6,8,Gaya (M Corp.),2301,Gaya,11398,6084,9,Bihar
326,1164,189,4,884,8,1,Sherghati (NP),198,Gaya,2065,148,5,Bihar
472,674,20,8,1406,30,11,Tikari (NP),49,Gaya,2122,0,4,Bihar
370,1387,908,1,21,0,0,Barauli (NP),92,Gopalganj,1413,9,4,Bihar
438,1997,1175,2,29,2,3,Gopalganj (Nagar Parishad),652,Gopalganj,2063,214,33,Bihar
739,1499,1097,0,260,40,0,Kataiya (NP),385,Gopalganj,1808,329,9,Bihar
322,1276,1173,1,30,3,1,Mirganj (NP),295,Gopalganj,1311,470,1,Bihar
2293,5307,5233,0,1578,52,4,Jamui (Nagar Parishad),2249,Jamui,6962,659,25,Bihar
520,850,824,0,335,2,1,Jhajha (NP),370,Jamui,1187,550,0,Bihar
1398,2512,1744,2,1785,12,3,Jehanabad (Nagar Parishad),291,Jehanabad,4328,1122,17,Bihar
660,2034,2014,1,29,5,2,Makhdumpur (NP),385,Jehanabad,2074,505,5,Bihar
93,1031,938,3,41,1,11,Bhabua (Nagar Parishad),513,Kaimur(Bhabua),1086,656,10,Bihar
404,1005,994,2,62,14,11,Mohania,644,Kaimur(Bhabua),1500,208,417,Bihar
4244,8890,5552,5,1648,38,6,Katihar (M Corp.),47,Katihar,10717,3639,136,Bihar
1559,3936,3875,2,37,0,1,Manihari (NP),261,Katihar,4010,3434,35,Bihar
300,1939,1700,2,2424,6,4,Gogri Jamalpur (NP),490,Khagaria,4432,343,61,Bihar
131,1447,328,1,50,1,3,Khagaria (Nagar Parishad),166,Khagaria,1666,158,167,Bihar
1257,3699,3688,2,832,1,1,Bahadurganj (NP),336,Kishanganj,4556,2556,22,Bihar
1456,4446,3444,8,2880,4,1,Kishanganj (Nagar Parishad),2105,Kishanganj,7375,1620,37,Bihar
271,426,408,0,158,0,0,Thakurganj (NP),150,Kishanganj,618,131,34,Bihar
214,1373,873,0,39,1,1,Barahiya (NP),722,Lakhisarai,1420,584,7,Bihar
744,4070,1445,3,5,4,0,Lakhisarai (Nagar Parishad),651,Lakhisarai,4111,1282,29,Bihar
3132,3631,3555,4,1472,17,10,Madhepura (Nagar Parishad),651,Madhepura,5185,3231,61,Bihar
3176,4204,4196,0,555,5,0,Murliganj (NP),1075,Madhepura,4775,2849,11,Bihar
263,1193,1158,5,1042,10,5,Ghoghardiha (NP),417,Madhubani,2253,452,3,Bihar
463,1089,871,3,695,4,5,Jainagar (NP),618,Madhubani,1800,231,9,Bihar
1468,4714,2569,8,393,121,11,Jhanjharpur (NP),215,Madhubani,5261,348,25,Bihar
3015,6024,3835,16,733,9,34,Madhubani (Nagar Parishad),737,Madhubani,6909,2436,127,Bihar
202,1939,247,0,20,1,1,Jamalpur (Nagar Parishad),322,Munger,1981,115,21,Bihar
495,2071,2063,1,16,2,3,Kharagpur (NP),698,Munger,2102,1992,12,Bihar
2835,6194,6043,4,335,0,5,Munger (M Corp.),1106,Munger,6534,3730,1,Bihar
746,3163,1268,1,6,0,1,Kanti (NP),458,Muzaffarpur,3188,691,18,Bihar
710,1625,1586,2,27,1,0,Motipur (NP),297,Muzaffarpur,1681,693,26,Bihar
1011,4981,2297,4,33,52,14,Muzaffarpur (M Corp.),1841,Muzaffarpur,5790,2100,720,Bihar
397,2081,987,1,415,1,1,Sahebganj (NP),195,Muzaffarpur,2501,923,3,Bihar
1155,5341,5337,1,422,7,2,Biharsharif (M Corp.),3938,Nalanda,5790,3056,19,Bihar
1052,3557,3480,1,165,22,2,Hilsa (Nagar Parishad),367,Nalanda,3768,3149,23,Bihar
371,1123,1063,0,56,16,0,Islampur (NP),623,Nalanda,1211,700,16,Bihar
1985,1993,1985,0,299,178,1,Rajgir (NP),2,Nalanda,2474,1971,4,Bihar
287,1033,1025,0,51,3,0,Silao (NP),644,Nalanda,1092,378,5,Bihar
213,814,777,1,142,9,0,Hisua (NP),385,Nawada,970,683,4,Bihar
185,793,793,2,13,4,3,Nawada (Nagar Parishad),294,Nawada,853,284,41,Bihar
0,0,0,0,0,0,0,Rajauli (NP),0,Nawada,0,0,0,Bihar
97,470,310,0,98,0,1,Warisaliganj (NP),229,Nawada,571,94,3,Bihar
835,4178,3969,11,308,26,3,Bagaha (Nagar Parishad),638,Paschim Champaran,4531,3478,8,Bihar
1733,3137,2885,2,64,10,5,Bettiah (Nagar Parishad),1217,Paschim Champaran,4396,1572,1183,Bihar
624,1841,1771,0,390,369,1,Chanpatia (NP),520,Paschim Champaran,2600,1652,0,Bihar
313,831,720,0,1250,355,4,Narkatiaganj (Nagar Parishad),132,Paschim Champaran,2442,542,6,Bihar
9,372,372,0,123,164,2,Ramnagar (NP),195,Paschim Champaran,727,70,68,Bihar
136,2504,1090,0,0,0,4,Bakhtiarpur (NP),94,Patna,2515,738,11,Bihar
331,612,611,2,280,1,3,Barh (Nagar Parishad),271,Patna,1380,275,485,Bihar
0,0,0,0,0,0,0,Bihta (NP),0,Patna,0,0,0,Bihar
49,892,478,0,182,5,2,Bikram (NP),89,Patna,1095,28,16,Bihar
0,0,0,0,1,0,0,Danapur Cantonment (CB),0,Patna,1,0,0,Bihar
1135,2831,2244,4,1484,7,0,Danapur Nizamat (Nagar Parishad),715,Patna,5509,1155,1183,Bihar
462,1137,997,8,805,7,0,Fatwah (NP),370,Patna,1961,321,4,Bihar
99,353,79,0,174,0,0,Khagaul (Nagar Parishad),159,Patna,531,0,4,Bihar
104,774,758,0,0,2,0,Khusrupur (NP),432,Patna,874,697,98,Bihar
298,1403,1095,0,404,19,5,Maner (NP),715,Patna,1834,799,8,Bihar
562,2139,2114,5,1763,147,5,Masaurhi (Nagar Parishad),827,Patna,4072,854,18,Bihar
483,634,626,0,26,0,16,Mokameh (Nagar Parishad),56,Patna,662,8,2,Bihar
164,455,341,0,184,1,1,Naubatpur (NP),209,Patna,641,5,1,Bihar
2896,5506,3611,9,3958,46,5,Patna (M Corp.),1082,Patna,10389,3067,870,Bihar
123,477,429,0,90,12,1,Phulwari Sharif (Nagar Parishad),289,Patna,1629,310,1050,Bihar
847,1636,1605,3,2309,62,1,Areraj (NP),672,Purba Champaran,4020,960,10,Bihar
609,1852,1165,0,114,1,1,Chakia (NP),322,Purba Champaran,1967,727,0,Bihar
1754,4048,3963,4,930,92,3,Dhaka (NP),429,Purba Champaran,5124,1115,50,Bihar
1544,1902,1830,0,33,52,0,Kesaria (NP),92,Purba Champaran,1997,1810,10,Bihar
0,0,0,0,0,0,0,Madhuban (NP),0,Purba Champaran,0,0,0,Bihar
1551,2035,1652,0,506,3,0,Mehsi (NP),136,Purba Champaran,2553,1019,9,Bihar
266,752,734,1,417,9,5,Motihari (Nagar Parishad),477,Purba Champaran,1191,729,12,Bihar
